dataDate;community;province;selfConsumption;sumPower_kW;sumPouredEnergy_kWh;sumContracts
2023-11-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;443;919;
2023-11-01;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;703;2008;
2023-11-01;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13337;6208;2268;
2023-11-01;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;241;919;
2023-11-02;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;438;2008;
2023-11-02;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13337;3025;2268;
2023-11-02;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;273;919;
2023-11-03;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;478;2008;
2023-11-03;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;2884;2272;
2023-11-03;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;851;919;
2023-11-04;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;1221;2008;
2023-11-04;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;14600;2272;
2023-11-04;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;487;919;
2023-11-05;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;812;2008;
2023-11-05;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;7046;2272;
2023-11-05;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;681;919;
2023-11-06;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;969;2008;
2023-11-06;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;8593;2272;
2023-11-06;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;361;919;
2023-11-07;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;576;2008;
2023-11-07;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;3404;2272;
2023-11-07;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;283;919;
2023-11-08;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;519;2008;
2023-11-08;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;2885;2272;
2023-11-08;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;744;919;
2023-11-09;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;1040;2008;
2023-11-09;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;8665;2272;
2023-11-09;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;136;919;
2023-11-10;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;378;2008;
2023-11-10;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;1197;2272;
2023-11-10;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;426;919;
2023-11-11;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;703;2008;
2023-11-11;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;6103;2272;
2023-11-11;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;409;919;
2023-11-12;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;719;2008;
2023-11-12;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;5624;2272;
2023-11-12;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;100;919;
2023-11-13;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;335;2008;
2023-11-13;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;1056;2272;
2023-11-13;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;935;122;919;
2023-11-14;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1545;333;2008;
2023-11-14;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13359;1266;2272;
2023-11-14;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;630;1010;
2023-11-15;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;898;2048;
2023-11-15;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13627;10105;2320;
2023-11-15;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;79;1010;
2023-11-16;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;321;2048;
2023-11-16;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13627;1147;2320;
2023-11-16;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;855;1010;
2023-11-17;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1222;2048;
2023-11-17;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13633;12528;2321;
2023-11-17;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;857;1010;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1181;2048;
2023-11-18;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13633;13813;2321;
2023-11-18;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;1008;1010;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1396;2048;
2023-11-19;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13637;14394;2322;
2023-11-19;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;112;1010;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;185;2048;
2023-11-20;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13637;432;2322;
2023-11-20;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;196;1010;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;285;2048;
2023-11-21;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13652;1997;2323;
2023-11-21;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;268;1010;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;392;2048;
2023-11-22;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13655;2352;2324;
2023-11-22;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;859;1010;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;1054;2048;
2023-11-23;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;10807;2326;
2023-11-23;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;489;1010;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;649;2048;
2023-11-24;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;4063;2326;
2023-11-24;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;811;1010;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;998;2048;
2023-11-25;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;10515;2326;
2023-11-25;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;683;1010;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;892;2048;
2023-11-26;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;7793;2326;
2023-11-26;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;86;1010;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;199;2048;
2023-11-27;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13667;247;2326;
2023-11-27;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;98;1010;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;208;2048;
2023-11-28;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13671;453;2327;
2023-11-28;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;161;1010;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;255;2048;
2023-11-29;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13676;859;2328;
2023-11-29;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo;972;96;1010;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Colectivo a través de red - Consumo;1579;202;2048;
2023-11-30;Asturias, Principado de;Asturias;Con excedentes y compensación Individual;13681;273;2329;
2023-11-30;Asturias, Principado de;Asturias;Sin Excedentes Individual;4016;0;20;
