Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;año;Total
Total Nacional;13 Madrid, Comunidad de;Fueloil;2021;2.382
Total Nacional;13 Madrid, Comunidad de;Fueloil;2019;2.022
Total Nacional;13 Madrid, Comunidad de;Fueloil;2017;2.823
Total Nacional;13 Madrid, Comunidad de;Fueloil;2015;3.245
Total Nacional;13 Madrid, Comunidad de;Otros productos petrolíferos;2022;19.257
Total Nacional;13 Madrid, Comunidad de;Otros productos petrolíferos;2021;7.342
Total Nacional;13 Madrid, Comunidad de;Otros productos petrolíferos;2019;5.484
Total Nacional;13 Madrid, Comunidad de;Otros productos petrolíferos;2017;7.976
Total Nacional;13 Madrid, Comunidad de;Otros productos petrolíferos;2015;6.669
Total Nacional;13 Madrid, Comunidad de;Carbón y coque;2022;125
Total Nacional;13 Madrid, Comunidad de;Carbón y coque;2021;7.092
Total Nacional;13 Madrid, Comunidad de;Carbón y coque;2019;6.971
Total Nacional;13 Madrid, Comunidad de;Carbón y coque;2017;12.479
Total Nacional;13 Madrid, Comunidad de;Carbón y coque;2015;7.019
Total Nacional;13 Madrid, Comunidad de;Biocombustibles;2022;2.460
Total Nacional;13 Madrid, Comunidad de;Biocombustibles;2021;591
Total Nacional;13 Madrid, Comunidad de;Biocombustibles;2019;1.392
Total Nacional;13 Madrid, Comunidad de;Biocombustibles;2017;991
Total Nacional;13 Madrid, Comunidad de;Biocombustibles;2015;2.128
Total Nacional;13 Madrid, Comunidad de;Calor y otros consumos energéticos;2022;11.158
Total Nacional;13 Madrid, Comunidad de;Calor y otros consumos energéticos;2021;8.672
Total Nacional;13 Madrid, Comunidad de;Calor y otros consumos energéticos;2019;4.198
Total Nacional;13 Madrid, Comunidad de;Calor y otros consumos energéticos;2017;3.700
Total Nacional;13 Madrid, Comunidad de;Calor y otros consumos energéticos;2015;8.348
Total Nacional;13 Madrid, Comunidad de;Total consumos energéticos;2022;925.804
Total Nacional;13 Madrid, Comunidad de;Total consumos energéticos;2021;598.315
Total Nacional;13 Madrid, Comunidad de;Total consumos energéticos;2019;525.749
Total Nacional;13 Madrid, Comunidad de;Total consumos energéticos;2017;471.356
Total Nacional;13 Madrid, Comunidad de;Total consumos energéticos;2015;499.950
Total Nacional;14 Murcia, Región de;Electricidad;2022;482.986
Total Nacional;14 Murcia, Región de;Electricidad;2021;293.225
Total Nacional;14 Murcia, Región de;Electricidad;2019;209.575
Total Nacional;14 Murcia, Región de;Electricidad;2017;255.958
Total Nacional;14 Murcia, Región de;Electricidad;2015;193.693
Total Nacional;14 Murcia, Región de;Gas;2022;294.992
Total Nacional;14 Murcia, Región de;Gas;2021;156.452
Total Nacional;14 Murcia, Región de;Gas;2019;128.700
Total Nacional;14 Murcia, Región de;Gas;2017;152.001
Total Nacional;14 Murcia, Región de;Gas;2015;151.933
Total Nacional;14 Murcia, Región de;Gasóleo;2022;35.289
Total Nacional;14 Murcia, Región de;Gasóleo;2021;27.445
Total Nacional;14 Murcia, Región de;Gasóleo;2019;24.256
Total Nacional;14 Murcia, Región de;Gasóleo;2017;24.980
Total Nacional;14 Murcia, Región de;Gasóleo;2015;22.418
Total Nacional;14 Murcia, Región de;Fueloil;2022;1.530
Total Nacional;14 Murcia, Región de;Fueloil;2021;2.092
Total Nacional;14 Murcia, Región de;Fueloil;2019;2.327
Total Nacional;14 Murcia, Región de;Fueloil;2017;1.777
Total Nacional;14 Murcia, Región de;Fueloil;2015;775
Total Nacional;14 Murcia, Región de;Otros productos petrolíferos;2022;5.432
Total Nacional;14 Murcia, Región de;Otros productos petrolíferos;2021;2.807
Total Nacional;14 Murcia, Región de;Otros productos petrolíferos;2019;4.302
Total Nacional;14 Murcia, Región de;Otros productos petrolíferos;2017;4.946
Total Nacional;14 Murcia, Región de;Otros productos petrolíferos;2015;1.443
Total Nacional;14 Murcia, Región de;Carbón y coque;2022;16
Total Nacional;14 Murcia, Región de;Carbón y coque;2021;728
Total Nacional;14 Murcia, Región de;Carbón y coque;2019;673
Total Nacional;14 Murcia, Región de;Carbón y coque;2017;499
Total Nacional;14 Murcia, Región de;Carbón y coque;2015;1.100
Total Nacional;14 Murcia, Región de;Biocombustibles;2022;2.555
Total Nacional;14 Murcia, Región de;Biocombustibles;2021;2.058
Total Nacional;14 Murcia, Región de;Biocombustibles;2019;501
Total Nacional;14 Murcia, Región de;Biocombustibles;2017;815
Total Nacional;14 Murcia, Región de;Biocombustibles;2015;255
Total Nacional;14 Murcia, Región de;Calor y otros consumos energéticos;2022;303.563
Total Nacional;14 Murcia, Región de;Calor y otros consumos energéticos;2021;171.812
Total Nacional;14 Murcia, Región de;Calor y otros consumos energéticos;2019;68.220
Total Nacional;14 Murcia, Región de;Calor y otros consumos energéticos;2017;33.240
Total Nacional;14 Murcia, Región de;Calor y otros consumos energéticos;2015;23.792
Total Nacional;14 Murcia, Región de;Total consumos energéticos;2022;1.126.363
Total Nacional;14 Murcia, Región de;Total consumos energéticos;2021;656.619
Total Nacional;14 Murcia, Región de;Total consumos energéticos;2019;438.553
Total Nacional;14 Murcia, Región de;Total consumos energéticos;2017;474.217
Total Nacional;14 Murcia, Región de;Total consumos energéticos;2015;395.409
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2022;521.745
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2021;303.979
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2019;236.759
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2017;214.039
Total Nacional;15 Navarra, Comunidad Foral de;Electricidad;2015;212.486
Total Nacional;15 Navarra, Comunidad Foral de;Gas;2022;217.558
Total Nacional;15 Navarra, Comunidad Foral de;Gas;2021;116.784
Total Nacional;15 Navarra, Comunidad Foral de;Gas;2019;99.933
Total Nacional;15 Navarra, Comunidad Foral de;Gas;2017;87.860
Total Nacional;15 Navarra, Comunidad Foral de;Gas;2015;99.538
Total Nacional;15 Navarra, Comunidad Foral de;Gasóleo;2022;25.425
Total Nacional;15 Navarra, Comunidad Foral de;Gasóleo;2021;10.107
Total Nacional;15 Navarra, Comunidad Foral de;Gasóleo;2019;17.710
Total Nacional;15 Navarra, Comunidad Foral de;Gasóleo;2017;16.579
Total Nacional;15 Navarra, Comunidad Foral de;Gasóleo;2015;17.221
Total Nacional;15 Navarra, Comunidad Foral de;Fueloil;2022;10.322
Total Nacional;15 Navarra, Comunidad Foral de;Fueloil;2021;1.201
Total Nacional;15 Navarra, Comunidad Foral de;Fueloil;2019;1.650
Total Nacional;15 Navarra, Comunidad Foral de;Fueloil;2017;1.005
Total Nacional;15 Navarra, Comunidad Foral de;Fueloil;2015;596
Total Nacional;15 Navarra, Comunidad Foral de;Otros productos petrolíferos;2022;30.123
Total Nacional;15 Navarra, Comunidad Foral de;Otros productos petrolíferos;2021;1.858
Total Nacional;15 Navarra, Comunidad Foral de;Otros productos petrolíferos;2019;2.162
Total Nacional;15 Navarra, Comunidad Foral de;Otros productos petrolíferos;2017;2.078
Total Nacional;15 Navarra, Comunidad Foral de;Otros productos petrolíferos;2015;1.325
Total Nacional;15 Navarra, Comunidad Foral de;Carbón y coque;2022;29.113
Total Nacional;15 Navarra, Comunidad Foral de;Carbón y coque;2021;19.748
Total Nacional;15 Navarra, Comunidad Foral de;Carbón y coque;2019;19.097
Total Nacional;15 Navarra, Comunidad Foral de;Carbón y coque;2017;16.608
Total Nacional;15 Navarra, Comunidad Foral de;Carbón y coque;2015;15.680
Total Nacional;15 Navarra, Comunidad Foral de;Biocombustibles;2022;14.374
Total Nacional;15 Navarra, Comunidad Foral de;Biocombustibles;2021;941
Total Nacional;15 Navarra, Comunidad Foral de;Biocombustibles;2019;5.922
Total Nacional;15 Navarra, Comunidad Foral de;Biocombustibles;2017;2.246
Total Nacional;15 Navarra, Comunidad Foral de;Biocombustibles;2015;857
Total Nacional;15 Navarra, Comunidad Foral de;Calor y otros consumos energéticos;2022;9.929
Total Nacional;15 Navarra, Comunidad Foral de;Calor y otros consumos energéticos;2021;9.745
Total Nacional;15 Navarra, Comunidad Foral de;Calor y otros consumos energéticos;2019;6.872
Total Nacional;15 Navarra, Comunidad Foral de;Calor y otros consumos energéticos;2017;4.276
Total Nacional;15 Navarra, Comunidad Foral de;Calor y otros consumos energéticos;2015;6.184
Total Nacional;15 Navarra, Comunidad Foral de;Total consumos energéticos;2022;858.589
Total Nacional;15 Navarra, Comunidad Foral de;Total consumos energéticos;2021;464.362
Total Nacional;15 Navarra, Comunidad Foral de;Total consumos energéticos;2019;390.107
Total Nacional;15 Navarra, Comunidad Foral de;Total consumos energéticos;2017;344.689
Total Nacional;15 Navarra, Comunidad Foral de;Total consumos energéticos;2015;353.888
Total Nacional;16 País Vasco;Electricidad;2022;1.435.585
Total Nacional;16 País Vasco;Electricidad;2021;940.939
Total Nacional;16 País Vasco;Electricidad;2019;608.529
Total Nacional;16 País Vasco;Electricidad;2017;658.736
Total Nacional;16 País Vasco;Electricidad;2015;674.658
Total Nacional;16 País Vasco;Gas;2022;776.666
Total Nacional;16 País Vasco;Gas;2021;364.618
Total Nacional;16 País Vasco;Gas;2019;335.829
Total Nacional;16 País Vasco;Gas;2017;262.444
Total Nacional;16 País Vasco;Gas;2015;371.700
Total Nacional;16 País Vasco;Gasóleo;2022;37.165
Total Nacional;16 País Vasco;Gasóleo;2021;21.203
Total Nacional;16 País Vasco;Gasóleo;2019;23.945
Total Nacional;16 País Vasco;Gasóleo;2017;25.649
Total Nacional;16 País Vasco;Gasóleo;2015;25.770
Total Nacional;16 País Vasco;Fueloil;2022;641
Total Nacional;16 País Vasco;Fueloil;2021;2.792
Total Nacional;16 País Vasco;Fueloil;2019;3.450
Total Nacional;16 País Vasco;Fueloil;2017;2.127
Total Nacional;16 País Vasco;Fueloil;2015;1.025
Total Nacional;16 País Vasco;Otros productos petrolíferos;2022;24.657
Total Nacional;16 País Vasco;Otros productos petrolíferos;2021;5.674
Total Nacional;16 País Vasco;Otros productos petrolíferos;2019;6.818
Total Nacional;16 País Vasco;Otros productos petrolíferos;2017;5.785
Total Nacional;16 País Vasco;Otros productos petrolíferos;2015;4.773
Total Nacional;16 País Vasco;Carbón y coque;2022;4.268
Total Nacional;16 País Vasco;Carbón y coque;2021;4.787
Total Nacional;16 País Vasco;Carbón y coque;2019;385
Total Nacional;16 País Vasco;Carbón y coque;2017;6.670
Total Nacional;16 País Vasco;Carbón y coque;2015;4.695
Total Nacional;16 País Vasco;Biocombustibles;2022;2.884
Total Nacional;16 País Vasco;Biocombustibles;2021;1.680
Total Nacional;16 País Vasco;Biocombustibles;2019;1.352
Total Nacional;16 País Vasco;Biocombustibles;2017;4.918
Total Nacional;16 País Vasco;Biocombustibles;2015;1.105
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2022;72.340
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2021;27.092
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2019;44.888
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2017;25.938
Total Nacional;16 País Vasco;Calor y otros consumos energéticos;2015;19.798
Total Nacional;16 País Vasco;Total consumos energéticos;2022;2.354.204
Total Nacional;16 País Vasco;Total consumos energéticos;2021;1.368.783
Total Nacional;16 País Vasco;Total consumos energéticos;2019;1.025.196
Total Nacional;16 País Vasco;Total consumos energéticos;2017;992.267
Total Nacional;16 País Vasco;Total consumos energéticos;2015;1.103.523
Total Nacional;17 Rioja, La;Electricidad;2022;109.882
Total Nacional;17 Rioja, La;Electricidad;2021;52.543
Total Nacional;17 Rioja, La;Electricidad;2019;48.249
Total Nacional;17 Rioja, La;Electricidad;2017;44.637
Total Nacional;17 Rioja, La;Electricidad;2015;44.195
Total Nacional;17 Rioja, La;Gas;2022;43.271
Total Nacional;17 Rioja, La;Gas;2021;19.298
Total Nacional;17 Rioja, La;Gas;2019;18.101
Total Nacional;17 Rioja, La;Gas;2017;14.817
Total Nacional;17 Rioja, La;Gas;2015;13.871
Total Nacional;17 Rioja, La;Gasóleo;2022;11.096
Total Nacional;17 Rioja, La;Gasóleo;2021;8.899
Total Nacional;17 Rioja, La;Gasóleo;2019;9.105
Total Nacional;17 Rioja, La;Gasóleo;2017;6.958
Total Nacional;17 Rioja, La;Gasóleo;2015;7.227
Total Nacional;17 Rioja, La;Fueloil;2022;469
Total Nacional;17 Rioja, La;Fueloil;2021;231
Total Nacional;17 Rioja, La;Fueloil;2019;700
Total Nacional;17 Rioja, La;Fueloil;2017;436
Total Nacional;17 Rioja, La;Fueloil;2015;2.714
Total Nacional;17 Rioja, La;Otros productos petrolíferos;2022;2.485
Total Nacional;17 Rioja, La;Otros productos petrolíferos;2021;1.202
Total Nacional;17 Rioja, La;Otros productos petrolíferos;2019;581
Total Nacional;17 Rioja, La;Otros productos petrolíferos;2017;1.651
Total Nacional;17 Rioja, La;Otros productos petrolíferos;2015;805
Total Nacional;17 Rioja, La;Carbón y coque;2022;82
Total Nacional;17 Rioja, La;Carbón y coque;2021;95
Total Nacional;17 Rioja, La;Carbón y coque;2019;110
Total Nacional;17 Rioja, La;Carbón y coque;2017;7
Total Nacional;17 Rioja, La;Carbón y coque;2015;113
Total Nacional;17 Rioja, La;Biocombustibles;2022;233
Total Nacional;17 Rioja, La;Biocombustibles;2021;251
Total Nacional;17 Rioja, La;Biocombustibles;2019;304
Total Nacional;17 Rioja, La;Biocombustibles;2017;56
Total Nacional;17 Rioja, La;Biocombustibles;2015;226
Total Nacional;17 Rioja, La;Calor y otros consumos energéticos;2022;927
Total Nacional;17 Rioja, La;Calor y otros consumos energéticos;2021;366
Total Nacional;17 Rioja, La;Calor y otros consumos energéticos;2019;842
Total Nacional;17 Rioja, La;Calor y otros consumos energéticos;2017;566
Total Nacional;17 Rioja, La;Calor y otros consumos energéticos;2015;1.085
Total Nacional;17 Rioja, La;Total consumos energéticos;2022;168.446
Total Nacional;17 Rioja, La;Total consumos energéticos;2021;82.886
Total Nacional;17 Rioja, La;Total consumos energéticos;2019;77.993
Total Nacional;17 Rioja, La;Total consumos energéticos;2017;69.126
Total Nacional;17 Rioja, La;Total consumos energéticos;2015;70.235
Total Nacional;18 Ceuta;Electricidad;2022;.
Total Nacional;18 Ceuta;Electricidad;2021;.
Total Nacional;18 Ceuta;Electricidad;2019;215
Total Nacional;18 Ceuta;Electricidad;2017;.
Total Nacional;18 Ceuta;Electricidad;2015;.
Total Nacional;18 Ceuta;Gas;2022;.
Total Nacional;18 Ceuta;Gas;2021;.
Total Nacional;18 Ceuta;Gas;2019;70
Total Nacional;18 Ceuta;Gas;2017;.
Total Nacional;18 Ceuta;Gas;2015;.
Total Nacional;18 Ceuta;Gasóleo;2022;.
Total Nacional;18 Ceuta;Gasóleo;2021;.
Total Nacional;18 Ceuta;Gasóleo;2019;25
Total Nacional;18 Ceuta;Gasóleo;2017;.
Total Nacional;18 Ceuta;Gasóleo;2015;.
Total Nacional;18 Ceuta;Fueloil;2022;.
Total Nacional;18 Ceuta;Fueloil;2021;.
Total Nacional;18 Ceuta;Fueloil;2019;0
Total Nacional;18 Ceuta;Fueloil;2017;.
Total Nacional;18 Ceuta;Fueloil;2015;.
Total Nacional;18 Ceuta;Otros productos petrolíferos;2022;.
Total Nacional;18 Ceuta;Otros productos petrolíferos;2021;.
Total Nacional;18 Ceuta;Otros productos petrolíferos;2019;11
Total Nacional;18 Ceuta;Otros productos petrolíferos;2017;.
Total Nacional;18 Ceuta;Otros productos petrolíferos;2015;.
Total Nacional;18 Ceuta;Carbón y coque;2022;.
Total Nacional;18 Ceuta;Carbón y coque;2021;.
Total Nacional;18 Ceuta;Carbón y coque;2019;0
Total Nacional;18 Ceuta;Carbón y coque;2017;.
Total Nacional;18 Ceuta;Carbón y coque;2015;.
Total Nacional;18 Ceuta;Biocombustibles;2022;.
Total Nacional;18 Ceuta;Biocombustibles;2021;.
Total Nacional;18 Ceuta;Biocombustibles;2019;0
Total Nacional;18 Ceuta;Biocombustibles;2017;.
Total Nacional;18 Ceuta;Biocombustibles;2015;.
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2022;.
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2021;.
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2019;0
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2017;.
Total Nacional;18 Ceuta;Calor y otros consumos energéticos;2015;.
Total Nacional;18 Ceuta;Total consumos energéticos;2022;.
Total Nacional;18 Ceuta;Total consumos energéticos;2021;.
Total Nacional;18 Ceuta;Total consumos energéticos;2019;321
Total Nacional;18 Ceuta;Total consumos energéticos;2017;.
Total Nacional;18 Ceuta;Total consumos energéticos;2015;.
Total Nacional;19 Melilla;Electricidad;2022;.
Total Nacional;19 Melilla;Electricidad;2021;.
Total Nacional;19 Melilla;Electricidad;2019;74
Total Nacional;19 Melilla;Electricidad;2017;.
Total Nacional;19 Melilla;Electricidad;2015;.
Total Nacional;19 Melilla;Gas;2022;.
Total Nacional;19 Melilla;Gas;2021;.
Total Nacional;19 Melilla;Gas;2019;9
Total Nacional;19 Melilla;Gas;2017;.
Total Nacional;19 Melilla;Gas;2015;.
Total Nacional;19 Melilla;Gasóleo;2022;.
Total Nacional;19 Melilla;Gasóleo;2021;.
Total Nacional;19 Melilla;Gasóleo;2019;102
Total Nacional;19 Melilla;Gasóleo;2017;.
Total Nacional;19 Melilla;Gasóleo;2015;.
Total Nacional;19 Melilla;Fueloil;2022;.
Total Nacional;19 Melilla;Fueloil;2021;.
Total Nacional;19 Melilla;Fueloil;2019;0
Total Nacional;19 Melilla;Fueloil;2017;.
Total Nacional;19 Melilla;Fueloil;2015;.
Total Nacional;19 Melilla;Otros productos petrolíferos;2022;.
Total Nacional;19 Melilla;Otros productos petrolíferos;2021;.
Total Nacional;19 Melilla;Otros productos petrolíferos;2019;7
Total Nacional;19 Melilla;Otros productos petrolíferos;2017;.
Total Nacional;19 Melilla;Otros productos petrolíferos;2015;.
Total Nacional;19 Melilla;Carbón y coque;2022;.
Total Nacional;19 Melilla;Carbón y coque;2021;.
Total Nacional;19 Melilla;Carbón y coque;2019;2
Total Nacional;19 Melilla;Carbón y coque;2017;.
Total Nacional;19 Melilla;Carbón y coque;2015;.
Total Nacional;19 Melilla;Biocombustibles;2022;.
Total Nacional;19 Melilla;Biocombustibles;2021;.
Total Nacional;19 Melilla;Biocombustibles;2019;0
Total Nacional;19 Melilla;Biocombustibles;2017;.
Total Nacional;19 Melilla;Biocombustibles;2015;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2022;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2021;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2019;4
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2017;.
Total Nacional;19 Melilla;Calor y otros consumos energéticos;2015;.
Total Nacional;19 Melilla;Total consumos energéticos;2022;.
Total Nacional;19 Melilla;Total consumos energéticos;2021;.
Total Nacional;19 Melilla;Total consumos energéticos;2019;199
Total Nacional;19 Melilla;Total consumos energéticos;2017;.
Total Nacional;19 Melilla;Total consumos energéticos;2015;.
